scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
404,Bhopal Shatabdi (12403),Express,550t,110 km/h,WAG-12 Heavy Freight (12449),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
405,WAG-12 Heavy Freight (11712),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11458),Freight,4500t,60 km/h,Kanpur Central,Medium
406,WAG-12 Heavy Freight (11215),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12192),High_Speed,430t,130 km/h,Bhusawal Block,Low
407,BOXN Coal Rake (12655),Freight,4500t,60 km/h,Vande Bharat Express (11310),High_Speed,430t,130 km/h,Itarsi Junction,Low
408,WAG-12 Heavy Freight (11239),Heavy Freight,6000t,75 km/h,EMU Local (12378),Commuter,300t,80 km/h,Itarsi Junction,High
409,WAG-12 Heavy Freight (12360),Heavy Freight,6000t,75 km/h,Rajdhani Express (11184),Express,600t,120 km/h,Vijayawada Line,High
410,Bhopal Shatabdi (11818),Express,550t,110 km/h,WAG-12 Heavy Freight (12000),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
411,WAG-12 Heavy Freight (11497),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11901),High_Speed,430t,130 km/h,Bhusawal Block,High
412,WAG-12 Heavy Freight (11427),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11237),Express,550t,110 km/h,Itarsi Junction,Medium
413,BOXN Coal Rake (12118),Freight,4500t,60 km/h,Rajdhani Express (12339),Express,600t,120 km/h,Vijayawada Line,High
414,Rajdhani Express (11954),Express,600t,120 km/h,WAG-12 Heavy Freight (11829),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
415,EMU Local (11177),Commuter,300t,80 km/h,Bhopal Shatabdi (12764),Express,550t,110 km/h,Vijayawada Line,Low
416,Rajdhani Express (11251),Express,600t,120 km/h,WAG-12 Heavy Freight (12092),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
417,Rajdhani Express (11043),Express,600t,120 km/h,BOXN Coal Rake (11413),Freight,4500t,60 km/h,Nagpur Crossing,Low
418,BOXN Coal Rake (11130),Freight,4500t,60 km/h,Rajdhani Express (12635),Express,600t,120 km/h,Bhusawal Block,High
419,BOXN Coal Rake (12886),Freight,4500t,60 km/h,Bhopal Shatabdi (12428),Express,550t,110 km/h,Kanpur Central,Medium
420,Bhopal Shatabdi (12275),Express,550t,110 km/h,BOXN Coal Rake (12626),Freight,4500t,60 km/h,Itarsi Junction,Low
421,BOXN Coal Rake (11062),Freight,4500t,60 km/h,Vande Bharat Express (12047),High_Speed,430t,130 km/h,Itarsi Junction,High
422,BOXN Coal Rake (12039),Freight,4500t,60 km/h,Rajdhani Express (12465),Express,600t,120 km/h,Bhusawal Block,Low
423,BOXN Coal Rake (11104),Freight,4500t,60 km/h,EMU Local (12887),Commuter,300t,80 km/h,Bhusawal Block,Medium
424,Rajdhani Express (11283),Express,600t,120 km/h,EMU Local (11128),Commuter,300t,80 km/h,Vijayawada Line,High
425,Rajdhani Express (11875),Express,600t,120 km/h,Bhopal Shatabdi (11578),Express,550t,110 km/h,Vijayawada Line,Low
426,EMU Local (12151),Commuter,300t,80 km/h,Rajdhani Express (11946),Express,600t,120 km/h,Bhusawal Block,Low
427,BOXN Coal Rake (11017),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12210),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
428,BOXN Coal Rake (11907),Freight,4500t,60 km/h,Rajdhani Express (12132),Express,600t,120 km/h,Nagpur Crossing,Low
429,EMU Local (12369),Commuter,300t,80 km/h,Rajdhani Express (12101),Express,600t,120 km/h,Itarsi Junction,Medium
430,Rajdhani Express (12704),Express,600t,120 km/h,WAG-12 Heavy Freight (12968),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
431,Vande Bharat Express (11679),High_Speed,430t,130 km/h,Rajdhani Express (12221),Express,600t,120 km/h,Nagpur Crossing,Low
432,WAG-12 Heavy Freight (12231),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11231),Express,550t,110 km/h,Vijayawada Line,Low
433,BOXN Coal Rake (11830),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12747),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
434,EMU Local (12893),Commuter,300t,80 km/h,Bhopal Shatabdi (11408),Express,550t,110 km/h,Vijayawada Line,High
435,BOXN Coal Rake (11615),Freight,4500t,60 km/h,Bhopal Shatabdi (12746),Express,550t,110 km/h,Nagpur Crossing,Low
436,BOXN Coal Rake (11106),Freight,4500t,60 km/h,Rajdhani Express (11186),Express,600t,120 km/h,Vijayawada Line,Medium
437,EMU Local (11929),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11041),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
438,WAG-12 Heavy Freight (12044),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11405),Freight,4500t,60 km/h,Nagpur Crossing,Medium
439,EMU Local (12940),Commuter,300t,80 km/h,Rajdhani Express (12188),Express,600t,120 km/h,Bhusawal Block,Medium
440,Rajdhani Express (12270),Express,600t,120 km/h,WAG-12 Heavy Freight (12366),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
441,Bhopal Shatabdi (12467),Express,550t,110 km/h,Rajdhani Express (11327),Express,600t,120 km/h,Kanpur Central,Medium
442,BOXN Coal Rake (11526),Freight,4500t,60 km/h,Vande Bharat Express (11740),High_Speed,430t,130 km/h,Nagpur Crossing,High
443,Bhopal Shatabdi (11609),Express,550t,110 km/h,EMU Local (12875),Commuter,300t,80 km/h,Itarsi Junction,Low
444,Bhopal Shatabdi (12981),Express,550t,110 km/h,WAG-12 Heavy Freight (12035),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
445,Bhopal Shatabdi (11018),Express,550t,110 km/h,WAG-12 Heavy Freight (11481),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
446,EMU Local (11194),Commuter,300t,80 km/h,Vande Bharat Express (12236),High_Speed,430t,130 km/h,Bhusawal Block,High
447,BOXN Coal Rake (12186),Freight,4500t,60 km/h,Bhopal Shatabdi (12116),Express,550t,110 km/h,Vijayawada Line,Medium
448,Vande Bharat Express (12707),High_Speed,430t,130 km/h,Bhopal Shatabdi (11986),Express,550t,110 km/h,Vijayawada Line,Low
449,WAG-12 Heavy Freight (11623),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12658),High_Speed,430t,130 km/h,Vijayawada Line,Medium
450,Rajdhani Express (12977),Express,600t,120 km/h,Vande Bharat Express (12953),High_Speed,430t,130 km/h,Vijayawada Line,Medium
451,Bhopal Shatabdi (11827),Express,550t,110 km/h,BOXN Coal Rake (12562),Freight,4500t,60 km/h,Itarsi Junction,Medium
452,WAG-12 Heavy Freight (12006),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11696),Express,550t,110 km/h,Itarsi Junction,Low
453,EMU Local (11821),Commuter,300t,80 km/h,Vande Bharat Express (12103),High_Speed,430t,130 km/h,Itarsi Junction,Medium
454,EMU Local (11273),Commuter,300t,80 km/h,Bhopal Shatabdi (12097),Express,550t,110 km/h,Nagpur Crossing,Medium
455,BOXN Coal Rake (11981),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12733),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
456,BOXN Coal Rake (12005),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11396),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
457,WAG-12 Heavy Freight (12749),Heavy Freight,6000t,75 km/h,EMU Local (11699),Commuter,300t,80 km/h,Bhusawal Block,High
458,Rajdhani Express (11616),Express,600t,120 km/h,EMU Local (11979),Commuter,300t,80 km/h,Vijayawada Line,High
459,BOXN Coal Rake (11990),Freight,4500t,60 km/h,Bhopal Shatabdi (12699),Express,550t,110 km/h,Kanpur Central,Low
460,BOXN Coal Rake (12850),Freight,4500t,60 km/h,Vande Bharat Express (12595),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
461,WAG-12 Heavy Freight (11786),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12004),Freight,4500t,60 km/h,Vijayawada Line,Low
462,WAG-12 Heavy Freight (11644),Heavy Freight,6000t,75 km/h,Rajdhani Express (11219),Express,600t,120 km/h,Bhusawal Block,High
463,WAG-12 Heavy Freight (11315),Heavy Freight,6000t,75 km/h,EMU Local (12575),Commuter,300t,80 km/h,Itarsi Junction,Medium
464,Bhopal Shatabdi (12450),Express,550t,110 km/h,WAG-12 Heavy Freight (12071),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
465,Rajdhani Express (11990),Express,600t,120 km/h,Vande Bharat Express (12076),High_Speed,430t,130 km/h,Itarsi Junction,Medium
466,Rajdhani Express (11110),Express,600t,120 km/h,WAG-12 Heavy Freight (11195),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
467,Vande Bharat Express (12184),High_Speed,430t,130 km/h,BOXN Coal Rake (11147),Freight,4500t,60 km/h,Bhusawal Block,High
468,Bhopal Shatabdi (12656),Express,550t,110 km/h,Vande Bharat Express (12380),High_Speed,430t,130 km/h,Itarsi Junction,Low
469,EMU Local (12118),Commuter,300t,80 km/h,BOXN Coal Rake (11390),Freight,4500t,60 km/h,Itarsi Junction,Medium
470,EMU Local (12297),Commuter,300t,80 km/h,Vande Bharat Express (11927),High_Speed,430t,130 km/h,Itarsi Junction,High
471,WAG-12 Heavy Freight (12499),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11216),Express,550t,110 km/h,Bhusawal Block,Low
472,WAG-12 Heavy Freight (12294),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12075),Express,550t,110 km/h,Itarsi Junction,Low
473,Bhopal Shatabdi (11396),Express,550t,110 km/h,Rajdhani Express (12463),Express,600t,120 km/h,Bhusawal Block,High
474,WAG-12 Heavy Freight (11106),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11839),Freight,4500t,60 km/h,Bhusawal Block,High
475,Rajdhani Express (12887),Express,600t,120 km/h,WAG-12 Heavy Freight (11966),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
476,Vande Bharat Express (12865),High_Speed,430t,130 km/h,BOXN Coal Rake (12329),Freight,4500t,60 km/h,Nagpur Crossing,Medium
477,WAG-12 Heavy Freight (11541),Heavy Freight,6000t,75 km/h,Rajdhani Express (11868),Express,600t,120 km/h,Vijayawada Line,Medium
478,Vande Bharat Express (12002),High_Speed,430t,130 km/h,Bhopal Shatabdi (11299),Express,550t,110 km/h,Itarsi Junction,Low
479,BOXN Coal Rake (11411),Freight,4500t,60 km/h,Vande Bharat Express (12314),High_Speed,430t,130 km/h,Kanpur Central,Medium
480,Vande Bharat Express (12663),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11824),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
481,WAG-12 Heavy Freight (11804),Heavy Freight,6000t,75 km/h,EMU Local (12407),Commuter,300t,80 km/h,Vijayawada Line,Medium
482,Vande Bharat Express (12263),High_Speed,430t,130 km/h,BOXN Coal Rake (11514),Freight,4500t,60 km/h,Bhusawal Block,Medium
483,Vande Bharat Express (11626),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12089),Heavy Freight,6000t,75 km/h,Kanpur Central,High
484,BOXN Coal Rake (11307),Freight,4500t,60 km/h,Rajdhani Express (11680),Express,600t,120 km/h,Bhusawal Block,Medium
485,EMU Local (12530),Commuter,300t,80 km/h,Bhopal Shatabdi (11697),Express,550t,110 km/h,Itarsi Junction,Medium
486,Bhopal Shatabdi (12384),Express,550t,110 km/h,Rajdhani Express (12339),Express,600t,120 km/h,Kanpur Central,Low
487,BOXN Coal Rake (11106),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11271),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
488,Bhopal Shatabdi (11953),Express,550t,110 km/h,EMU Local (12679),Commuter,300t,80 km/h,Nagpur Crossing,Medium
489,BOXN Coal Rake (12046),Freight,4500t,60 km/h,Rajdhani Express (12906),Express,600t,120 km/h,Vijayawada Line,High
490,BOXN Coal Rake (11483),Freight,4500t,60 km/h,Bhopal Shatabdi (11924),Express,550t,110 km/h,Vijayawada Line,Low
491,WAG-12 Heavy Freight (12384),Heavy Freight,6000t,75 km/h,EMU Local (12265),Commuter,300t,80 km/h,Vijayawada Line,High
492,BOXN Coal Rake (11453),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11078),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
493,Rajdhani Express (11866),Express,600t,120 km/h,WAG-12 Heavy Freight (12557),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
494,Bhopal Shatabdi (11622),Express,550t,110 km/h,Vande Bharat Express (11022),High_Speed,430t,130 km/h,Vijayawada Line,Low
495,BOXN Coal Rake (12049),Freight,4500t,60 km/h,Rajdhani Express (12760),Express,600t,120 km/h,Kanpur Central,High
496,BOXN Coal Rake (11353),Freight,4500t,60 km/h,Rajdhani Express (12010),Express,600t,120 km/h,Vijayawada Line,Medium
497,Rajdhani Express (11481),Express,600t,120 km/h,BOXN Coal Rake (12923),Freight,4500t,60 km/h,Itarsi Junction,Low
498,Rajdhani Express (11095),Express,600t,120 km/h,WAG-12 Heavy Freight (12326),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
499,WAG-12 Heavy Freight (11178),Heavy Freight,6000t,75 km/h,Rajdhani Express (11674),Express,600t,120 km/h,Nagpur Crossing,High
500,WAG-12 Heavy Freight (12971),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11981),High_Speed,430t,130 km/h,Bhusawal Block,Medium
